OrigZoneNo,DestZoneNo,Index,Path_Volume,Path_UnloadedTime,Path_UnloadedSpeed,Path_LoadedTime,Path_LoadedSpeed,Links_Count,Links_MinCarCapacity,Links_MaxCarCapacity,Links_AvgCarCapacity,Links_SumCarCapacity,Links_MinLength,Links_MaxLength,Links_AvgLength,Links_SumLength,Links_MinOfCars,Links_MaxOfCars,Links_AvgOfCars,Links_SumOfCars,Links_MinLoadedSpeed,Links_MaxLoadedSpeed,Links_AvgLoadedSpeed,Links_MinUnloadedTime,Links_MaxUnloadedTime,Links_AvgUnloadedTime,Links_SumUnloadedTime,Links_MinLoadedTime,Links_MaxLoadedTime,Links_AvgLoadedTime,Links_SumLoadedTime,Links_ToNodeNo,Links_FromNodeNo
10,20,1,19208.0,2min 23s,36km/h,3min 10s,27km/h,3,500,800,600,1800,0.066km,0.167km,0.111km,0.332km,179,302,234,702,28km/h,29km/h,28km/h,8s,20s,13s,40s,8s,22s,14s,43s,"2642,153,3111","3412,2642,153"
10,20,2,1064.0,2min 14s,38km/h,3min 10s,27km/h,3,500,800,600,1800,0.055km,0.327km,0.183km,0.549km,221,256,238,713,27km/h,29km/h,28km/h,7s,39s,22s,1min 6s,7s,43s,24s,1min 12s,"2645,153,3111","3064,2645,153"
10,30,1,36624.0,2min,38km/h,2min 22s,32km/h,3,500,800,600,1800,0.090km,0.252km,0.171km,0.513km,271,295,285,856,25km/h,29km/h,26km/h,11s,30s,21s,1min 2s,13s,35s,23s,1min 10s,"138,3351,162","137,138,3351"
10,40,1,18483.0,3min 5s,29km/h,3min 32s,26km/h,7,500,2000,971,6800,0.051km,0.183km,0.120km,0.840km,76,703,305,2137,27km/h,30km/h,29km/h,6s,22s,14s,1min 41s,6s,24s,15s,1min 45s,"10000658,3081,2649,130,139,140,3389","3064,10000658,3081,2649,130,139,140"
10,40,2,0.481,2min 59s,32km/h,3min 32s,27km/h,5,500,2000,860,4300,0.051km,0.379km,0.193km,0.967km,143,703,344,1718,21km/h,29km/h,27km/h,6s,45s,23s,1min 56s,6s,47s,27s,2min 14s,"3404,130,139,140,3389","3077,3404,130,139,140"
10,40,3,0.038,3min 2s,31km/h,3min 32s,27km/h,6,500,2000,1150,6900,0.029km,0.183km,0.114km,0.686km,228,801,487,2920,15km/h,29km/h,26km/h,3s,22s,14s,1min 22s,6s,24s,15s,1min 30s,"138,2649,130,139,140,3389","137,138,2649,130,139,140"
10,50,1,27462.0,2min 9s,34km/h,5min 2s,15km/h,5,500,1000,720,3600,0.024km,0.319km,0.145km,0.725km,311,355,320,1600,24km/h,57km/h,32km/h,3s,26s,14s,1min 8s,3s,28s,15s,1min 15s,"2651,104,954,3332,3333","3082,2651,104,954,3332"
10,60,1,24591.0,3min,27km/h,5min 56s,14km/h,11,500,2000,864,9500,0.013km,0.323km,0.111km,1.216km,254,2792,764,8405,13km/h,29km/h,22km/h,1s,34s,12s,2min 8s,3s,1min 10s,19s,3min 27s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,128","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122"
10,60,2,0.607,2min 58s,31km/h,5min 56s,15km/h,11,500,2000,891,9800,0.013km,0.323km,0.096km,1.056km,287,2792,786,8649,13km/h,29km/h,22km/h,1s,23s,10s,1min 49s,3s,1min 10s,17s,3min 7s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2947","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122"
10,70,1,16280.0,2min 18s,39km/h,3min 23s,27km/h,3,500,800,600,1800,0.114km,0.133km,0.123km,0.369km,16,207,134,402,28km/h,30km/h,29km/h,14s,16s,15s,44s,15s,16s,15s,45s,"2643,163,3413","3412,2643,163"
10,80,1,14229.0,4min 49s,29km/h,5min 33s,25km/h,9,500,2000,767,6900,0.051km,0.379km,0.159km,1.434km,30,703,280,2519,21km/h,30km/h,28km/h,6s,45s,19s,2min 52s,6s,47s,21s,3min 12s,"3404,130,139,140,2784,141,142,2753,3094","3077,3404,130,139,140,2784,141,142,2753"
10,80,2,0.415,4min 55s,28km/h,5min 34s,24km/h,11,500,2000,855,9400,0.051km,0.179km,0.119km,1.307km,30,703,267,2938,25km/h,30km/h,29km/h,6s,21s,14s,2min 37s,6s,23s,15s,2min 43s,"10000658,3081,2649,130,139,140,2784,141,142,2753,3094","3064,10000658,3081,2649,130,139,140,2784,141,142,2753"
10,80,3,1356.0,4min 52s,28km/h,5min 33s,25km/h,10,500,2000,950,9500,0.029km,0.179km,0.115km,1.153km,30,801,372,3722,15km/h,30km/h,27km/h,3s,21s,14s,2min 18s,6s,23s,15s,2min 28s,"138,2649,130,139,140,2784,141,142,2753,3094","137,138,2649,130,139,140,2784,141,142,2753"
